BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,Journal_Book
7,,PAZRUZA2024102497,"Paz-Ruza, Jorge; Alonso-Betanzos, Amparo; Guijarro-Berdiñas, Bertha; Cancela, Brais; Eiras-Franco, Carlos",Sustainable transparency on recommender systems: Bayesian ranking of images for explainability,Information Fusion,111.0,,,102497,2024,,,https://www.sciencedirect.com/science/article/pii/S1566253524002756,,,,,,,,,,,,,"Recommender Systems have become crucial in the modern world, commonly guiding users towards relevant content or products, and having a large influence over the decisions of users and citizens. However, ensuring transparency and user trust in these systems remains a challenge; personalized explanations have emerged as a solution, offering justifications for recommendations. Among the existing approaches for generating personalized explanations, using existing visual content created by users is a promising option to maximize transparency and user trust. State-of-the-art models that follow this approach, despite leveraging highly optimized architectures, employ surrogate learning tasks that do not efficiently model the objective of ranking images as explanations for a given recommendation; this leads to a suboptimal training process with high computational costs that may not be reduced without affecting model performance. This work presents BRIE, a novel model where we leverage Bayesian Pairwise Ranking to enhance the training process, allowing us to consistently outperform state-of-the-art models in six real-world datasets while reducing its model size by up to 64 times and its CO2 emissions by up to 75% in training and inference.",,"Machine Learning, Explainable Artificial Intelligence, Frugal AI, Dyadic data, Explainable recommendations, Recommender systems",,,Information Fusion
7,,AI2025129692,"Ai, Jun; Li, Haolin; Su, Zhan; Zhao, Fengyu",An explainable recommendation algorithm based on content summarization and linear attention,Neurocomputing,630.0,,,129692,2025,,,https://www.sciencedirect.com/science/article/pii/S0925231225003649,,,,,,,,,,,,,"Recommendation algorithms can alleviate the problem of information explosion and cater to the needs of users to quickly lock in preferred items, promote business development, and have important theoretical significance and broad theoretical value. Explainable recommendation algorithms can not only complete recommendation tasks, but also generate recommendation explanations, so that users can more easily accept preferences. Research related to natural language text generation has promoted the progress of explainable text generation technology for recommendation systems. This paper proposes an explainable recommendation algorithm based on content summarization and linear attention mechanism. The model uses the keyword extraction algorithm to extract key information from user comment text as an important feature of subsequent text generation tasks, and further introduces linear Transformer to improve the training speed of the model and enhance its scalability. In addition, the model also uses the Vivaldi synthetic coordinate algorithm to deeply mine user and item features and uses the Kolmogorov–Arnold neural network model to reduce the error of predicted ratings. Compared with existing leading algorithms, the algorithm in this paper has achieved significant improvements in text generation and recommendation rating prediction. This paper reveals that applying the linear attention mechanism to the explainable recommendation algorithm can greatly reduce the training cost and improve scalability, and the fusion of synthetic coordinates and attention can further mine the hidden information of the recommendation system, effectively improving the performance of the recommendation algorithm.",,"Content summary, Linear attention, Explainable recommendation algorithm, Vivaldi synthetic coordinate algorithm, Kolmogorov–Arnold neural network",,,Neurocomputing
7,,WEI2023202,"Wei, Tianjun; Chow, Tommy W. S.; Ma, Jianghong; Zhao, Mingbo",ExpGCN: Review-aware Graph Convolution Network for explainable recommendation,Neural Networks,157.0,,,202-215,2023,,,https://www.sciencedirect.com/science/article/pii/S0893608022004087,,,,,,,,,,,,,"Existing works in recommender system have widely explored extracting reviews as explanations beyond user–item interactions, and formulated the explanation generation as a ranking task to enhance item recommendation performance. To associate explanations with users and items, graph neural networks (GNN) are usually employed to learn node representations on the heterogeneous user–item–explanation interaction graph. However, modeling heterogeneous graph convolution poses limitations in both message passing styles and computational efficiency, resulting in sub-optimal recommendation performance. To address the limitations, we propose an Explanation-aware Graph Convolution Network (ExpGCN). In particular, the heterogeneous interaction graph is divided to subgraphs regard to the edge types in ExpGCN. By aggregating information from distinct subgraphs, ExpGCN is capable of generating node representations for explanation ranking task and item recommendation task respectively. Task-oriented graph convolution can not only reduce the complexity of heterogeneous node aggregation, but also alleviate the performance degeneration caused by the conflicts between task learning objectives, which has been neglected in current studies. Extensive experiments on four public datasets show that ExpGCN significantly outperforms state-of-the-art baselines with high efficiency, demonstrating the effectiveness of ExpGCN in explainable recommendations.",,"Explainable recommendation, Recommender system, Graph Neural Network, Multi-task learning, Collaborative filtering",,,Neural Networks
7,,KAUR2023100507,"Kaur, Gurinder; Liu, Fei; Chen, Yi-Ping Phoebe",A deep learning knowledge graph neural network for recommender systems,Machine Learning with Applications,14.0,,,100507,2023,,,https://www.sciencedirect.com/science/article/pii/S2666827023000609,,,,,,,,,,,,,"Knowledge graphs are becoming the new state-of-the-art for recommender systems. This paper is based on knowledge graphs to alleviate the problem of data sparsity. Various methods have been recently deployed to solve this problem which largely attempts to study user-item representation and then recommend items to users based on these representations. Although these methods are effective, they lack explainability for recommendations and do not mine side information. In this paper, we propose the use of knowledge graphs which includes additional information about users and items in addition to the use of a user/item interaction matrix. The vital element of our model is neighbourhood aggregation for collaborative filtering. Every user and item are associated with an ID embedding, which is circulated on the interaction graph for users, items, and their attributes. We obtain the final embeddings by combining the embeddings learned at various hidden layers with a biased sum. Our model is easier to train and achieves better performance compared to graph neural network-based collaborative filtering (GCF) and other state-of-the-art recommender methods. We provide evidence for our argument by analytically comparing the knowledge graph convolution network (KGCN) with GCF and eight other state-of-the-art methods, using similar experimental settings and the same datasets.",,"Collaborative filtering, Graph neural network, Recommender system, Knowledge graph",,,Machine Learning with Applications
7,,YANG2020106194,"Yang, Zuoxi; Dong, Shoubin",HAGERec: Hierarchical Attention Graph Convolutional Network Incorporating Knowledge Graph for Explainable Recommendation,Knowledge-Based Systems,204.0,,,106194,2020,,,https://www.sciencedirect.com/science/article/pii/S0950705120304196,,,,,,,,,,,,,"Knowledge graph (KG) can provide auxiliary information for recommender system to alleviate the sparsity and cold start problems, while graph convolutional networks (GCN) has recently been established as the state-of-the-art representation learning method. The combination of them is a promising perspective to improve the performance of graph-structured recommendation. However, most of GCN-based recommendations focus on homogeneous graph or user/item-similarity graph, fail to fully make use of the complex and rich semantics between entities in heterogeneous knowledge graph. In this paper, we develop Hierarchical Attention Graph Convolutional Network Incorporating Knowledge Graph for Explainable Recommendation (HAGERec) to explore users’ potential preferences from the high-order connectivity structure of heterogeneous knowledge graph. To exploit semantic information, HAGERec simultaneously learn the representations of users and items via a bi-directional information propagation strategy. Specifically, the entity’s representation can be aggregated through messages passing from its local proximity structure, and a hierarchical attention mechanism is developed to adaptively characterize and adjust collaborative signals. With the help of the attention mechanism, an attentive entity sampling strategy is proposed to select relevant neighbor entities, and the explainability is endowed to the model by building knowledge-aware connectivity. Experiments conducted on four real-world public datasets demonstrate the state-of-the-art performance and the strong explainability of HAGERec.",,"Recommender system, Graph convolutional network, Hierarchical attention, Knowledge graph",,,Knowledge-Based Systems
7,,LI2024112042,"Li, Weisheng; Zhong, Hao; Zhou, Junming; Chang, Chao; Lin, Ronghua; Tang, Yong",An attention mechanism and residual network based knowledge graph-enhanced recommender system,Knowledge-Based Systems,299.0,,,112042,2024,,,https://www.sciencedirect.com/science/article/pii/S0950705124006762,,,,,,,,,,,,,"Recommender systems enhanced by a knowledge graph (KG) have attained widespread popularity and attention in recent years. However, traditional KG-based recommender systems encounter the challenge of gradient explosion as the network depth increases. Additionally, the abundance of unreliable paths in a KG has a detrimental impact on feature representation learning. In this article, we propose a KG-enhanced recommender system based on residual network and attention mechanism, which can capture high-order connectivity and long-range dependencies of the KG. Specifically, a resource allocation approach is employed to calculate the resource amount, which is subsequently utilized to evaluate the path reliability of the KG. After completing path extraction, we employ an attention mechanism to capture semantic correlations and structural information. To leverage the KG for enhancing recommender systems, we design a deep residual network with shortcut connections, effectively amalgamating advanced and abstract features using deep neural networks. The introduction of shortcut connections not only facilitates the fitting of residual mappings but also mitigates potential issues such as gradient explosion and convergence difficulties due to excessive network depth. Extensive experiments conducted on three standard datasets over baseline methods have demonstrated the superiority of our proposed recommender system.",,"Knowledge graph, Recommender system, Residual network, Attention mechanism",,,Knowledge-Based Systems
7,,WANG2020436,"Wang, Tongxuan; Zheng, Xiaolong; He, Saike; Zhang, Zhu; Wu, Desheng Dash",Learning user-item paths for explainable recommendation,IFAC-PapersOnLine,53.0,5.0,,436-440,2020,,3rd IFAC Workshop on Cyber-Physical & Human Systems CPHS 2020,https://www.sciencedirect.com/science/article/pii/S2405896321002305,,,,,,,,,,,,,"Knowledge graph based explainable recommendation system is a kind of personalized recommendation which uses side information to solve the reason why recommending an item. Previous study has not fully explored the connection between users and items in knowledge graph, especially the problem of overall semantic representation, and can not capture the high level semantic representation of the path, it is difficult for existing path-based methods to clarify the overall semantics of paths. Especially when the path contains similar entities but different relationship. In this paper, we propose a model named Meta-Path-based Explainable Recommendation System (MPERS) to represent the paths in the knowledge graph through the semantic information of entities and relationships, and distinguish the different contributions that different paths make to conduct users’ preference. The experimental study demonstrates the superiority of our method compared with the state-of-the-art ones",,"explainable recommendation, knowledge graph, deep neural networks",,,IFAC-PapersOnLine
7,,GUO2021185,"Guo, Siyuan; Wang, Ying; Yuan, Hao; Huang, Zeyu; Chen, Jianwei; Wang, Xin",TAERT: Triple-Attentional Explainable Recommendation with Temporal Convolutional Network,Information Sciences,567.0,,,185-200,2021,,,https://www.sciencedirect.com/science/article/pii/S0020025521002772,,,,,,,,,,,,,"Explainable Recommendation aims at not only providing the recommended items to users, but also enabling users to be aware of why these items are recommended. To better understand the recommended results, textual reviews have been playing an increasingly important role in the recommender systems. However, how to learn the latent representation of user preferences and item features, and how to model the interactions between them effectively via specific aspects in the reviews are two crucial problems in the explainable recommendation. To this end, we propose a novel Triple-Attentional Explainable Recommendation with Temporal Convolutional Network, named TAERT, which is to jointly generate recommendation results and explanations. Specifically, we first explore a feature learning method based on Temporal Convolutional Network (TCN) to derive word-aware and review-aware vector representations. Then, we introduce three levels of attention networks to model word contribution, review usefulness and importance of latent factors, respectively. Finally, the predicted rating is inferred by the factor-level attention based prediction layer. Furthermore, the attention mechanism is also conducive to identifying the representative item reviews and highlighting the informative words to generate explanations. Compared with the state-of-the-art methods, comprehensive experiments on six real-world datasets are conducted to verify the effectiveness on both recommendation and explanation.",,"Recommender system, Explainable recommendation, Triple attention networks, Temporal Convolutional Network, Rating prediction",,,Information Sciences
7,,MARKCHOM2023110258,"Markchom, Thanet; Liang, Huizhi; Ferryman, James",Scalable and explainable visually-aware recommender systems,Knowledge-Based Systems,263.0,,,110258,2023,,,https://www.sciencedirect.com/science/article/pii/S0950705123000084,,,,,,,,,,,,,"Recommender systems are popularly used to deal with an information overload issue. Existing systems mainly focus on user–item interactions and semantic information derived from metadata of users and items to improve recommendation accuracy. Item images provide useful information to infer users’ individual preferences, especially for those domains where visual factors are influential such as fashion items. However, this type of information has been ignored by most previous work. To bridge this gap and meet the requirements of performance from the aspects of Accuracy, Scalability, and Explainability evaluation metrics, this paper proposes a scalable and explainable visually-aware recommender system framework called SEV-RS. This framework contains a visually-augmented heterogeneous information network, a scalable meta-path feature extraction method for multi-hop relations, and a shallow explainable meta-path based Collaborative Filtering recommendation approach. We compared SEV-RS with the state-of-the-art models such as the deep learning model using Graph Attention Network on two real-world datasets and one synthetic dataset. The results show that SEV-RS produced more accurate and more explainable recommendations. Also, SEV-RS has substantially less computational time than the compared deep learning models.",,"Recommender system, Heterogeneous information network, Meta-path, Visual information, Scalability, Explainability",,,Knowledge-Based Systems
7,,HAO2025113113,"Hao, Qingbo; Wang, Chundong; Xiao, Yingyuan; Zheng, Wenguang",IReGNN: Implicit review-enhanced graph neural network for explainable recommendation,Knowledge-Based Systems,311.0,,,113113,2025,,,https://www.sciencedirect.com/science/article/pii/S0950705125001601,,,,,,,,,,,,,"Explainable recommendations can not only recommend items to users but also provide corresponding explanations, which is crucial for enhancing the transparency, credibility, and security of the system. Reviews, as an important information source for explainable recommendations, have received considerable attention. However, existing review-based explainable recommendations focus primarily on exploring user preferences and item features, as well as generating explanations from reviews, overlooking the limitations imposed by review sparsity on model performance. To address this issue, we propose an Implicit Review-enhanced Graph Neural Network (IReGNN) for explainable recommendations. Specifically, we construct a review network and a rating network, respectively. For the review network, we adopt an unsupervised approach to mine different topics of users and items, thereby enhancing node attribute representations. On the other hand, for the rating network, we extract implicit relationships between individuals and generate virtual reviews under the constraint of topics, which can effectively alleviate the data sparsity issue. Finally, we leverage a spatial graph neural network to learn node representations, generating accurate recommendations and high-quality explanations. Through a series of experiments on three publicly available datasets, results demonstrate that IReGNN outperforms eight baseline models in terms of rating prediction and explanation quality. Moreover, our model also has certain advantages in sparse data scenarios. The model and datasets are released at: https://github.com/SamuelZack/IReGNN.git.",,"Explainable recommendations, Graph neural network, Implicit reviews, Topic extraction",,,Knowledge-Based Systems
7,,LIU2025113217,"Liu, Jianfang; Wang, Wei; Yi, Baolin; Zhang, Huanyu; Shen, Xiaoxuan",Semantic relation-aware graph attention network with noise augmented layer-wise contrastive learning for recommendation,Knowledge-Based Systems,314.0,,,113217,2025,,,https://www.sciencedirect.com/science/article/pii/S0950705125002643,,,,,,,,,,,,,"Recommender systems based on knowledge graphs enhance the explainability of recommendations by incorporating external knowledge. Nevertheless, the accuracy of recommendations heavily depends on dense interaction data and high-quality knowledge graphs, both of which commonly suffer from data sparsity. Introducing graph contrastive learning to enhance representation quality can effectively improve recommendation performance. Existing graph contrastive learning methods that use graph augmentation can alleviate the data sparsity problem. However, they often neglect the semantic modeling of relation embeddings and lack sufficient contrastive information, leading to insufficient utilization of the embedding space for relations and nodes. To address this, we propose a semantic relation-aware graph attention network with a noise augmented layer-wise contrastive learning model for recommendation, named SRGAN. Specifically, we design a semantic relation-aware graph attention network that updates the semantics of relations during multi-layer iterations to better capture user preferences. Additionally, we construct a noise-augmented layer-wise contrastive learning model, employing simple yet effective noise perturbations to generate contrastive views for entities and relations. By maximizing the consistency of the representations in each layer, the model achieves alignment with the lower-level features of the intermediate layers. Extensive experiments on three public benchmark datasets demonstrate that our proposed method significantly outperforms current approaches. To ensure reproducibility, we make the code and data from our experiments publicly available on https://github.com/liujianfang2021/SRGAN.",,"Contrastive learning, Semantic relation-aware, Knowledge graph, Noise augmented, Graph attention network, Recommendation",,,Knowledge-Based Systems
7,,WU2025129780,"Wu, Xiaotong; Qiu, Liqing; Zhao, Weidong",Cross-modal feature symbiosis for personalized meta-path generation in heterogeneous networks,Neurocomputing,633.0,,,129780,2025,,,https://www.sciencedirect.com/science/article/pii/S0925231225004527,,,,,,,,,,,,,"In heterogeneous graph neural networks (HGNNs), the capture of intricate relationships among various types of entities is essential to achieve advanced machine learning applications. Heterogeneous Information Networks (HINs), composed of interconnected multi-type nodes and edges, face significant challenges in managing semantic diversity and inherent heterogeneity. Traditional methods, which rely on manually designed meta-paths, struggle to adapt dynamically to personalized needs and often neglect the integration of structural and attribute features. To address these limitations, this paper introduces the Cross-Modal Symbiotic Meta-Path Generator (CSMPG) framework. CSMPG integrates two key modules: a Cross-Modal State Generation Module that encodes node structure and attribute information into task-aware state vectors and a Personalized Meta-Path Generation Module that dynamically generates and refines meta-paths using reinforcement learning. By leveraging downstream task feedback, CSMPG optimizes path selection to maximize performance. The framework effectively balances cross-modal feature integration and semantic diversity, uncovering impactful meta-paths that are often overlooked by traditional approaches. Experimental results demonstrate that CSMPG consistently enhances recommendation quality and significantly outperforms structure-only and predefined-path-based models.",,"Heterogeneous graph neural networks, Meta-path generation, Reinforcement learning, Cross-modal information processing",,,Neurocomputing
6,9781450360142.0,10.1145/3269206.3271739,"Wang, Hongwei; Zhang, Fuzheng; Wang, Jialin; Zhao, Miao; Li, Wenjie; Xie, Xing; Guo, Minyi",RippleNet: Propagating User Preferences on the Knowledge Graph for Recommender Systems,,,,,417–426,2018,"New York, NY, USA",,https://doi.org/10.1145/3269206.3271739,Proceedings of the ACM International Conference on Information and Knowledge Management,,,CIKM '18,,Association for Computing Machinery,,,,,,,"To address the sparsity and cold start problem of collaborative filtering, researchers usually make use of side information, such as social networks or item attributes, to improve recommendation performance. This paper considers the knowledge graph as the source of side information. To address the limitations of existing embedding-based and path-based methods for knowledge-graph-aware recommendation, we propose RippleNet, an end-to-end framework that naturally incorporates the knowledge graph into recommender systems. Similar to actual ripples propagating on the water, RippleNet stimulates the propagation of user preferences over the set of knowledge entities by automatically and iteratively extending a user's potential interests along links in the knowledge graph. The multiple ""ripples"" activated by a user's historically clicked items are thus superposed to form the preference distribution of the user with respect to a candidate item, which could be used for predicting the final clicking probability. Through extensive experiments on real-world datasets, we demonstrate that RippleNet achieves substantial gains in a variety of scenarios, including movie, book and news recommendation, over several state-of-the-art baselines.",,"knowledge graph, preference propagation, recommender systems",,,ACM International Conference on Information and Knowledge Management
6,9781450369763.0,10.1145/3357384.3357925,"Song, Weiping; Shi, Chence; Xiao, Zhiping; Duan, Zhijian; Xu, Yewen; Zhang, Ming; Tang, Jian",AutoInt: Automatic Feature Interaction Learning via Self-Attentive Neural Networks,,,,,1161–1170,2019,"New York, NY, USA",,https://doi.org/10.1145/3357384.3357925,Proceedings of the ACM International Conference on Information and Knowledge Management,,,CIKM '19,,Association for Computing Machinery,,,,,,,"Click-through rate (CTR) prediction, which aims to predict the probability of a user clicking on an ad or an item, is critical to many online applications such as online advertising and recommender systems. The problem is very challenging since (1) the input features (e.g., the user id, user age, item id, item category) are usually sparse and high-dimensional, and (2) an effective prediction relies on high-order combinatorial features (a.k.a. cross features), which are very time-consuming to hand-craft by domain experts and are impossible to be enumerated. Therefore, there have been efforts in finding low-dimensional representations of the sparse and high-dimensional raw features and their meaningful combinations. In this paper, we propose an effective and efficient method called the AutoInt to automatically learn the high-order feature interactions of input features. Our proposed algorithm is very general, which can be applied to both numerical and categorical input features. Specifically, we map both the numerical and categorical features into the same low-dimensional space. Afterwards, a multi-head self-attentive neural network with residual connections is proposed to explicitly model the feature interactions in the low-dimensional space. With different layers of the multi-head self-attentive neural networks, different orders of feature combinations of input features can be modeled. The whole model can be efficiently fit on large-scale raw data in an end-to-end fashion. Experimental results on four real-world datasets show that our proposed approach not only outperforms existing state-of-the-art approaches for prediction but also offers good explainability. Code is available at: urlhttps://github.com/DeepGraphLearning/RecommenderSystems.",,"ctr prediction, explainable recommendation, high-order feature interactions, self attention",,,ACM International Conference on Information and Knowledge Management
6,9781450355520.0,10.1145/3219819.3219965,"Hu, Binbin; Shi, Chuan; Zhao, Wayne Xin; Yu, Philip S.",Leveraging Meta-path based Context for Top- N Recommendation with A Neural Co-Attention Model,,,,,1531–1540,2018,"New York, NY, USA",,https://doi.org/10.1145/3219819.3219965,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery \&amp; Data Mining,,,KDD '18,,Association for Computing Machinery,,,,,,,"Heterogeneous information network (HIN) has been widely adopted in recommender systems due to its excellence in modeling complex context information. Although existing HIN based recommendation methods have achieved performance improvement to some extent, they have two major shortcomings. First, these models seldom learn an explicit representation for path or meta-path in the recommendation task. Second, they do not consider the mutual effect between the meta-path and the involved user-item pair in an interaction. To address these issues, we develop a novel deep neural network with the co-attention mechanism for leveraging rich meta-path based context for top-N recommendation. We elaborately design a three-way neural interaction model by explicitly incorporating meta-path based context. To construct the meta-path based context, we propose to use a priority based sampling technique to select high-quality path instances. Our model is able to learn effective representations for users, items and meta-path based context for implementing a powerful interaction function. The co-attention mechanism improves the representations for meta-path based con- text, users and items in a mutual enhancement way. Extensive experiments on three real-world datasets have demonstrated the effectiveness of the proposed model. In particular, the proposed model performs well in the cold-start scenario and has potentially good interpretability for the recommendation results.",,"attention mechanism, deep learning, heterogeneous information network, recommender system",,,ACM SIGKDD Conference on Knowledge Discovery and Data Mining
6,9781450356398.0,10.1145/3178876.3186070,"Chen, Chong; Zhang, Min; Liu, Yiqun; Ma, Shaoping",Neural Attentional Rating Regression with Review-level Explanations,,,,,1583–1592,2018,"Republic and Canton of Geneva, CHE",,https://doi.org/10.1145/3178876.3186070,Proceedings of the World Wide Web Conference,,,WWW '18,,International World Wide Web Conferences Steering Committee,,,,,,,"Reviews information is dominant for users to make online purchasing decisions in e-commerces. However, the usefulness of reviews is varied. We argue that less-useful reviews hurt model's performance, and are also less meaningful for user's reference. While some existing models utilize reviews for improving the performance of recommender systems, few of them consider the usefulness of reviews for recommendation quality. In this paper, we introduce a novel attention mechanism to explore the usefulness of reviews, and propose a Neural Attentional Regression model with Review-level Explanations (NARRE) for recommendation. Specifically, NARRE can not only predict precise ratings, but also learn the usefulness of each review simultaneously. Therefore, the highly-useful reviews are obtained which provide review-level explanations to help users make better and faster decisions. Extensive experiments on benchmark datasets of Amazon and Yelp on different domains show that the proposed NARRE model consistently outperforms the state-of-the-art recommendation approaches, including PMF, NMF, SVD++, HFT, and DeepCoNN in terms of rating prediction, by the proposed attention model that takes review usefulness into consideration. Furthermore, the selected reviews are shown to be effective when taking existing review-usefulness ratings in the system as ground truth. Besides, crowd-sourcing based evaluations reveal that in most cases, NARRE achieves equal or even better performances than system's usefulness rating method in selecting reviews. And it is flexible to offer great help on the dominant cases in real e-commerce scenarios when the ratings on review-usefulness are not available in the system.",,"explainable recommendation, neural attention network, recommender systems, review usefulness",,,ACM Web Conference
6,9781450366748.0,10.1145/3308558.3313705,"Cao, Yixin; Wang, Xiang; He, Xiangnan; Hu, Zikun; Chua, Tat-Seng",Unifying Knowledge Graph Learning and Recommendation: Towards a Better Understanding of User Preferences,,,,,151–161,2019,"New York, NY, USA",,https://doi.org/10.1145/3308558.3313705,The World Wide Web Conference,,,WWW '19,,Association for Computing Machinery,,,,,,,"Incorporating knowledge graph (KG) into recommender system is promising in improving the recommendation accuracy and explainability. However, existing methods largely assume that a KG is complete and simply transfer the ”knowledge” in KG at the shallow level of entity raw data or embeddings. This may lead to suboptimal performance, since a practical KG can hardly be complete, and it is common that a KG has missing facts, relations, and entities. Thus, we argue that it is crucial to consider the incomplete nature of KG when incorporating it into recommender system. In this paper, we jointly learn the model of recommendation and knowledge graph completion. Distinct from previous KG-based recommendation methods, we transfer the relation information in KG, so as to understand the reasons that a user likes an item. As an example, if a user has watched several movies directed by (relation) the same person (entity), we can infer that the director relation plays a critical role when the user makes the decision, thus help to understand the user's preference at a finer granularity. Technically, we contribute a new translation-based recommendation model, which specially accounts for various preferences in translating a user to an item, and then jointly train it with a KG completion model by combining several transfer schemes. Extensive experiments on two benchmark datasets show that our method outperforms state-of-the-art KG-based recommendation methods. Further analysis verifies the positive effect of joint training on both tasks of recommendation and KG completion, and the advantage of our model in understanding user preference. We publish our project at https://github.com/TaoMiner/joint-kg-recommender.",,"Embedding, Item Recommendation, Joint Model, Knowledge Graph",,,ACM Web Conference
6,9781450380164.0,10.1145/3397271.3401137,"Wang, Xiang; Jin, Hongye; Zhang, An; He, Xiangnan; Xu, Tong; Chua, Tat-Seng",Disentangled Graph Collaborative Filtering,,,,,1001–1010,2020,"New York, NY, USA",,https://doi.org/10.1145/3397271.3401137,Proceedings of the International ACM SIGIR Conference on Research and Development in Information Retrieval,,,SIGIR '20,,Association for Computing Machinery,,,,,,,"Learning informative representations of users and items from the interaction data is of crucial importance to collaborative filtering (CF). Present embedding functions exploit user-item relationships to enrich the representations, evolving from a single user-item instance to the holistic interaction graph. Nevertheless, they largely model the relationships in a uniform manner, while neglecting the diversity of user intents on adopting the items, which could be to pass time, for interest, or shopping for others like families. Such uniform approach to model user interests easily results in suboptimal representations, failing to model diverse relationships and disentangle user intents in representations.In this work, we pay special attention to user-item relationships at the finer granularity of user intents. We hence devise a new model, Disentangled Graph Collaborative Filtering (DGCF), to disentangle these factors and yield disentangled representations. Specifically, by modeling a distribution over intents for each user-item interaction, we iteratively refine the intent-aware interaction graphs and representations. Meanwhile, we encourage independence of different intents. This leads to disentangled representations, effectively distilling information pertinent to each intent. We conduct extensive experiments on three benchmark datasets, and DGCF achieves significant improvements over several state-of-the-art models like NGCF, DisenGCN, and MacridVAE. Further analyses offer insights into the advantages of DGCF on the disentanglement of user intents and interpretability of representations. Our codes are available in https://github.com/ xiangwang1223/disentangled_graph_collaborative_filtering.",,"collaborative filtering, disentangled representation learning, explainable recommendation, graph neural networks",,,International ACM SIGIR Conference on Research and Development in Information Retrieval
6,9781450368896.0,10.1145/3343031.3351034,"Wei, Yinwei; Wang, Xiang; Nie, Liqiang; He, Xiangnan; Hong, Richang; Chua, Tat-Seng",MMGCN: Multi-modal Graph Convolution Network for Personalized Recommendation of Micro-video,,,,,1437–1445,2019,"New York, NY, USA",,https://doi.org/10.1145/3343031.3351034,Proceedings of the ACM International Conference on Multimedia,,,MM '19,,Association for Computing Machinery,,,,,,,"Personalized recommendation plays a central role in many online content sharing platforms. To provide quality micro-video recommendation service, it is of crucial importance to consider the interactions between users and items (i.e. micro-videos) as well as the item contents from various modalities (e.g. visual, acoustic, and textual). Existing works on multimedia recommendation largely exploit multi-modal contents to enrich item representations, while less effort is made to leverage information interchange between users and items to enhance user representations and further capture user's fine-grained preferences on different modalities. In this paper, we propose to exploit user-item interactions to guide the representation learning in each modality, and further personalized micro-video recommendation. We design a Multi-modal Graph Convolution Network (MMGCN) framework built upon the message-passing idea of graph neural networks, which can yield modal-specific representations of users and micro-videos to better capture user preferences. Specifically, we construct a user-item bipartite graph in each modality, and enrich the representation of each node with the topological structure and features of its neighbors. Through extensive experiments on three publicly available datasets, Tiktok, Kwai, and MovieLens, we demonstrate that our proposed model is able to significantly outperform state-of-the-art multi-modal recommendation methods.",,"graph convolution network, micro-video understanding, multi-modal recommendation",,,ACM International Conference on Multimedia
6,9781450337946.0,10.1145/2806416.2806504,"He, Xiangnan; Chen, Tao; Kan, Min-Yen; Chen, Xiao",TriRank: Review-aware Explainable Recommendation by Modeling Aspects,,,,,1661–1670,2015,"New York, NY, USA",,https://doi.org/10.1145/2806416.2806504,ACM International Conference on Information and Knowledge Management,,,CIKM '15,,Association for Computing Machinery,,,,,,,"Most existing collaborative filtering techniques have focused on modeling the binary relation of users to items by extracting from user ratings. Aside from users' ratings, their affiliated reviews often provide the rationale for their ratings and identify what aspects of the item they cared most about. We explore the rich evidence source of aspects in user reviews to improve top-N recommendation. By extracting aspects (i.e., the specific properties of items) from textual reviews, we enrich the user--item binary relation to a user--item--aspect ternary relation. We model the ternary relation as a heterogeneous tripartite graph, casting the recommendation task as one of vertex ranking. We devise a generic algorithm for ranking on tripartite graphs -- TriRank -- and specialize it for personalized recommendation. Experiments on two public review datasets show that it consistently outperforms state-of-the-art methods. Most importantly, TriRank endows the recommender system with a higher degree of explainability and transparency by modeling aspects in reviews. It allows users to interact with the system through their aspect preferences, assisting users in making informed decisions.",,"aspects, comments, explanable recommendation, reviews, top-n recommendation, tripartite graph ranking",,,ACM International Conference on Information and Knowledge Management
